daily,dynamic_path_appkey,dynamic_path_page_name,dynamic_path,unique_event_count,total_event_count,page_name
2022-10-07,IEcfMTxPDUaFUnfUZutaQQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/fDToslaaf0S4pWzGJkWsZA/customer-data/IEcfMTxPDUaFUnfUZutaQQ/audience-studio/zPhcIuP3qUKiPhss51XkAQ/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-07,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/y5iot7LXD0eAm6EMQgiTnQ/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-07,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsUserMovementPage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/8PrdcB6VSkeCq7k74yhWKw/insight/user-movement,1,1,2. 유저동선
2022-10-07,GCHSvS3UC0CLSVcmXpMnvQ,AppAudienceStudioDetailsInsightsUserMovementPage,/EaDzUTo5YEaQf32cYmx8Ag/customer-data/GCHSvS3UC0CLSVcmXpMnvQ/audience-studio/RsFtGydQzkSQH0JtM4mcAA/insight/user-movement,1,1,2. 유저동선
2022-10-07,GCHSvS3UC0CLSVcmXpMnvQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/EaDzUTo5YEaQf32cYmx8Ag/customer-data/GCHSvS3UC0CLSVcmXpMnvQ/audience-studio/RsFtGydQzkSQH0JtM4mcAA/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-07,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/8PrdcB6VSkeCq7k74yhWKw/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-10-07,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/Agz8dVf4a0auQQg29DBD4A/insight/audience-profile,2,2,1. 오디언스 프로파일
2022-10-07,IEcfMTxPDUaFUnfUZutaQQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/fDToslaaf0S4pWzGJkWsZA/customer-data/IEcfMTxPDUaFUnfUZutaQQ/audience-studio/yjJp1InzYEuntKe8I08lrw/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-07,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/yCjM12a3G0KQI3Tj1Y2ABw/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-10-07,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/8PrdcB6VSkeCq7k74yhWKw/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-07,IEcfMTxPDUaFUnfUZutaQQ,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/fDToslaaf0S4pWzGJkWsZA/customer-data/IEcfMTxPDUaFUnfUZutaQQ/audience-studio/zPhcIuP3qUKiPhss51XkAQ/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-10-07,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/Agz8dVf4a0auQQg29DBD4A/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-10-06,3Ge1IhgKikuFJvSIlvoSnA,AppAudienceStudioDetailsInsightsAudienceProfilePage,/Bse7vQOq0kmaHxUlrbnCWA/customer-data/3Ge1IhgKikuFJvSIlvoSnA/audience-studio/QBP5YKYORES7zhIB5mWPuQ/insight/audience-profile,2,3,1. 오디언스 프로파일
2022-10-06,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/0aeEOBaTQkaYgc95gnltTA/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-06,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/GnaANsPiGkaloZoYLUAavA/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-10-05,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/0aeEOBaTQkaYgc95gnltTA/insight/audience-profile,1,1,1. 오디언스 프로파일
